Clock      Train Name                               Next Position  
0.00       T2                                       6  
0.00       T5                                       12 
0.00       T0                                       2  
0.00       T3                                       8  
0.00       T4                                       10 
0.00       T1                                       4  
1.37       T4                                       10 
1.66       T3                                       8  
2.42       T3                                       10 
3.00       T1                                       4  
4.11       T5                                       12 
4.11       T4                                       12 
5.00       T5                                       14 
5.31       T0                                       2  
5.91       T3                                       10 
6.04       T2                                       6  
6.04       T1                                       6  
6.58       T0                                       4  
6.49       T2                                       8  
7.10       T4                                       12 
7.10       T3                                       12 
9.46       T0                                       4  
9.57       T2                                       8  
10.57      T2                                       10 
10.82      T5                                       14 
10.82      T4                                       14 
10.97      T1                                       6  
10.97      T3                                       12 
10.97      T0                                       6  
11.14      T5                                       16 
11.81      T1                                       8  
12.98      T0                                       6  
14.20      T2                                       10 
14.31      T5                                       16 
15.09      T2                                       12 
15.49      T4                                       14 
15.49      T3                                       14 
15.13      T5                                       18 
15.79      T1                                       8  
15.79      T0                                       8  
15.99      T4                                       16 
16.19      T1                                       10 
17.28      T2                                       12 
17.65      T1                                       10 
17.95      T3                                       14 
17.95      T2                                       14 
18.35      T1                                       12 
18.42      T0                                       8  
18.49      T4                                       16 
18.49      T3                                       16 
18.57      T5                                       18 
18.78      T0                                       10 
20.19      T4                                       18 
20.19      T3                                       16 
19.95      T5                                       0  
21.21      T2                                       14 
21.71      T2                                       16 
22.79      T4                                       18 
22.79      T3                                       18 
23.55      T1                                       12 
23.64      T5                                       0  
24.00      T0                                       10 
24.11      T1                                       14 
24.24      T2                                       16 
24.34      T4                                       0  
24.65      T0                                       12 
25.00      T5                                       2  
25.76      T3                                       18 
25.76      T2                                       18 
27.66      T0                                       12 
27.77      T4                                       0  
27.77      T3                                       0  
28.30      T5                                       2  
29.39      T4                                       2  
29.21      T5                                       4  
29.93      T1                                       14 
29.93      T0                                       14 
30.01      T2                                       18 
30.48      T1                                       16 
31.07      T3                                       0  
31.95      T2                                       0  
32.24      T4                                       2  
32.56      T1                                       16 
32.57      T3                                       2  
32.74      T0                                       14 
33.46      T5                                       4  
33.03      T0                                       16 
33.46      T4                                       4  
33.67      T1                                       18 
34.24      T5                                       6  
35.25      T4                                       4  
36.23      T3                                       2  
37.12      T2                                       0  
37.34      T3                                       4  
37.56      T1                                       18 
37.57      T5                                       6  
37.57      T4                                       6  
37.92      T5                                       8  
38.59      T2                                       2  
39.20      T5                                       8  
38.92      T1                                       0  
39.26      T0                                       16 
39.64      T4                                       6  
39.65      T5                                       10 
40.63      T4                                       8  
39.89      T0                                       18 
41.59      T3                                       4  
41.93      T5                                       10 
42.24      T3                                       6  
42.53      T1                                       0  
42.33      T5                                       12 
43.95      T0                                       18 
43.97      T4                                       8  
44.01      T2                                       2  
44.05      T1                                       2  
44.89      T4                                       10 
45.02      T2                                       4  
45.58      T0                                       0  
45.88      T5                                       12 
45.97      T3                                       6  
46.79      T5                                       14 
46.15      T3                                       8  
47.81      T4                                       10 
48.01      T3                                       8  
48.56      T1                                       2  
48.07      T4                                       12 
48.58      T0                                       0  
48.44      T3                                       10 
50.11      T5                                       14 
50.06      T0                                       2  
50.19      T2                                       4  
50.19      T1                                       4  
50.44      T3                                       10 
50.77      T5                                       16 
50.61      T2                                       6  
51.56      T4                                       12 
51.56      T3                                       12 
51.89      T2                                       6  
52.23      T4                                       14 
52.37      T2                                       8  
53.35      T0                                       2  
53.99      T1                                       4  
54.33      T5                                       16 
54.36      T0                                       4  
54.62      T1                                       6  
55.34      T3                                       12 
55.32      T5                                       18 
56.10      T1                                       6  
56.27      T2                                       8  
56.41      T1                                       8  
57.13      T2                                       10 
57.33      T0                                       4  
57.71      T0                                       6  
58.59      T4                                       14 
58.59      T3                                       14 
59.15      T4                                       16 
60.15      T5                                       18 
60.24      T1                                       8  
61.32      T4                                       16 
61.72      T3                                       14 
61.58      T5                                       0  
62.20      T2                                       10 
62.20      T1                                       10 
62.24      T3                                       16 
62.39      T4                                       18 
62.73      T2                                       12 
62.94      T0                                       6  
63.35      T0                                       8  
63.62      T5                                       0  
65.83      T5                                       2  
66.21      T1                                       10 
66.32      T4                                       18 
66.47      T2                                       12 
66.96      T1                                       12 
66.98      T2                                       14 
67.38      T3                                       16 
67.45      T0                                       8  
68.19      T4                                       0  
67.72      T0                                       10 
68.12      T3                                       18 
69.37      T4                                       0  
70.62      T5                                       2  
71.12      T4                                       2  
71.15      T0                                       10 
71.54      T1                                       12 
71.65      T3                                       18 
71.59      T5                                       4  
71.70      T0                                       12 
72.50      T2                                       14 
72.50      T1                                       14 
72.80      T2                                       16 
73.50      T3                                       0  
73.74      T4                                       2  
73.87      T0                                       12 
74.20      T5                                       4  
75.20      T5                                       6  
74.29      T4                                       4  
76.15      T1                                       14 
76.15      T0                                       14 
77.75      T2                                       16 
77.75      T1                                       16 
77.85      T5                                       6  
78.75      T3                                       0  
77.95      T5                                       8  
78.62      T2                                       18 
79.89      T1                                       16 
80.23      T4                                       4  
80.25      T0                                       14 
80.24      T3                                       2  
81.06      T4                                       6  
80.45      T0                                       16 
82.66      T2                                       18 
82.66      T1                                       18 
82.69      T5                                       8  
83.10      T5                                       10 
83.72      T4                                       6  
83.96      T0                                       16 
84.10      T2                                       0  
84.34      T4                                       8  
85.07      T3                                       2  
85.50      T1                                       18 
85.50      T0                                       18 
85.69      T4                                       8  
85.87      T3                                       4  
86.68      T5                                       10 
86.68      T4                                       10 
87.68      T5                                       12 
88.17      T3                                       4  
88.82      T2                                       0  
88.82      T1                                       0  
88.52      T3                                       6  
89.84      T0                                       18 
90.55      T5                                       12 
90.10      T2                                       2  
90.99      T3                                       6  
91.10      T5                                       14 
91.30      T4                                       10 
91.69      T3                                       8  
91.91      T4                                       12 
93.38      T2                                       2  
93.85      T5                                       14 
94.68      T5                                       16 
94.08      T2                                       4  
94.93      T4                                       12 
94.99      T1                                       0  
94.99      T0                                       0  
95.02      T4                                       14 
96.56      T1                                       2  
97.00      T3                                       8  
97.56      T2                                       4  
97.45      T3                                       10 
97.94      T4                                       14 
98.17      T2                                       6  
98.36      T5                                       16 
98.53      T4                                       16 
98.78      T0                                       0  
99.77      T1                                       2  
98.95      T5                                       18 
100.37     T0                                       2  
100.88     T1                                       4  
102.08     T3                                       10 
102.38     T2                                       6  
102.68     T5                                       18 
102.48     T3                                       12 
102.86     T0                                       2  
102.90     T2                                       8  
103.02     T4                                       16 
104.21     T4                                       18 
104.15     T5                                       0  
105.08     T3                                       12 
105.21     T1                                       4  
105.21     T0                                       4  
105.62     T3                                       14 
105.81     T1                                       6  
107.17     T4                                       18 
107.32     T5                                       0  
107.41     T2                                       8  
107.81     T3                                       14 
108.00     T2                                       10 
108.63     T3                                       16 
108.70     T4                                       0  
108.94     T5                                       2  
110.46     T0                                       4  
110.75     T2                                       10 
111.48     T5                                       2  
111.01     T2                                       12 
111.79     T1                                       6  
111.79     T0                                       6  
112.19     T3                                       16 
112.39     T1                                       8  
112.57     T5                                       4  
113.19     T3                                       18 
113.76     T2                                       12 
114.52     T4                                       0  
114.00     T2                                       14 
114.79     T3                                       18 
116.06     T4                                       2  
116.16     T0                                       6  
116.21     T1                                       8  
116.36     T3                                       0  
116.95     T0                                       8  
116.47     T1                                       10 
117.44     T5                                       4  
117.95     T5                                       6  
118.12     T2                                       14 
118.39     T2                                       16 
