Name,Passengers Carried,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame8TrainsWithDelays,2334,65,0.1729,0.9286,47.9264,1.5460
Transducer_ExpFrame8TrainsWithDelays,2407,69,0.1783,1.0781,54.0184,1.5005
Transducer_ExpFrame8TrainsWithDelays,2323,83,0.2202,1.0247,51.0211,1.4577
Transducer_ExpFrame8TrainsWithDelays,2428,73,0.1881,1.1061,52.7326,1.4252
Transducer_ExpFrame8TrainsWithDelays,2628,42,0.1029,0.8936,36.6926,1.2653
Transducer_ExpFrame8TrainsWithDelays,2491,41,0.1041,0.8200,57.6408,1.2809
Transducer_ExpFrame8TrainsWithDelays,2500,54,0.1371,0.9643,43.5094,1.2797
Transducer_ExpFrame8TrainsWithDelays,2418,52,0.1347,0.8525,68.7418,1.5986
Transducer_ExpFrame8TrainsWithDelays,2503,63,0.1563,1.1667,49.9119,1.3490
Transducer_ExpFrame8TrainsWithDelays,2478,74,0.1917,1.3455,55.7046,1.4283
Transducer_ExpFrame8TrainsWithDelays,2519,50,0.1241,0.8772,57.4552,1.4013
Transducer_ExpFrame8TrainsWithDelays,2500,92,0.2306,1.4154,45.3865,1.4183
Transducer_ExpFrame8TrainsWithDelays,2450,44,0.1111,0.9362,60.8439,1.7895
Transducer_ExpFrame8TrainsWithDelays,2460,68,0.1739,1.0149,57.7861,1.3439
Transducer_ExpFrame8TrainsWithDelays,2522,52,0.1303,0.8387,45.4141,1.6219
Transducer_ExpFrame8TrainsWithDelays,2498,59,0.1471,1.3111,46.5181,1.2922
Transducer_ExpFrame8TrainsWithDelays,2381,57,0.1516,0.8143,62.4568,1.4195
Transducer_ExpFrame8TrainsWithDelays,2486,39,0.0990,0.8298,44.8811,1.4025
Transducer_ExpFrame8TrainsWithDelays,2472,55,0.1375,1.0784,59.8551,1.4599
Transducer_ExpFrame8TrainsWithDelays,2419,60,0.1563,0.9836,66.5138,1.6628
Transducer_ExpFrame8TrainsWithDelays,2496,58,0.1439,0.9508,57.5061,1.6430
Transducer_ExpFrame8TrainsWithDelays,2471,68,0.1753,0.9577,43.0602,1.3456
Transducer_ExpFrame8TrainsWithDelays,2489,38,0.0955,0.7600,83.5781,1.7057
Transducer_ExpFrame8TrainsWithDelays,2461,66,0.1692,1.1379,74.8976,1.6644
Transducer_ExpFrame8TrainsWithDelays,2389,85,0.2225,1.1486,56.2405,1.6541
Transducer_ExpFrame8TrainsWithDelays,2408,70,0.1837,1.1111,60.9355,1.6927
Transducer_ExpFrame8TrainsWithDelays,2483,78,0.1985,0.9750,70.0421,1.4903
Transducer_ExpFrame8TrainsWithDelays,2514,38,0.0972,0.7170,53.5501,1.4092
Transducer_ExpFrame8TrainsWithDelays,2439,46,0.1170,0.8364,64.2031,1.5659
Transducer_ExpFrame8TrainsWithDelays,2484,60,0.1511,1.0909,72.9625,1.6582
Transducer_ExpFrame8TrainsWithDelays,2564,40,0.1003,0.7843,61.4689,1.5761
Transducer_ExpFrame8TrainsWithDelays,2394,56,0.1421,0.8358,54.8076,1.5224
Transducer_ExpFrame8TrainsWithDelays,2525,80,0.2000,1.1111,52.2947,1.3762
Transducer_ExpFrame8TrainsWithDelays,2431,60,0.1527,1.0169,48.6612,1.5207
Transducer_ExpFrame8TrainsWithDelays,2448,61,0.1540,1.1731,59.1047,1.3745
Transducer_ExpFrame8TrainsWithDelays,2454,68,0.1748,1.2143,61.1804,1.4922
Transducer_ExpFrame8TrainsWithDelays,2566,47,0.1155,0.7705,58.3669,1.5360
Transducer_ExpFrame8TrainsWithDelays,2455,52,0.1310,0.9811,46.2538,1.5418
Transducer_ExpFrame8TrainsWithDelays,2630,30,0.0719,0.6818,56.8182,1.5356
Transducer_ExpFrame8TrainsWithDelays,2561,52,0.1271,0.9123,64.6491,1.4366
Transducer_ExpFrame8TrainsWithDelays,2648,50,0.1211,0.8772,48.3483,1.2723
Transducer_ExpFrame8TrainsWithDelays,2436,79,0.2000,1.0260,66.5233,1.6631
Transducer_ExpFrame8TrainsWithDelays,2604,58,0.1404,0.9063,52.9704,1.3582
Transducer_ExpFrame8TrainsWithDelays,2425,62,0.1570,0.8732,75.1005,1.5646
Transducer_ExpFrame8TrainsWithDelays,2547,50,0.1229,1.0870,56.4933,1.3138
Transducer_ExpFrame8TrainsWithDelays,2537,49,0.1198,0.8033,49.3470,1.4099
Transducer_ExpFrame8TrainsWithDelays,2531,48,0.1188,0.8276,47.0410,1.4700
Transducer_ExpFrame8TrainsWithDelays,2623,60,0.1463,1.2245,43.9401,1.2206
Transducer_ExpFrame8TrainsWithDelays,2593,73,0.1768,1.0139,37.7786,1.3027
Transducer_ExpFrame8TrainsWithDelays,2574,46,0.1114,0.9020,62.0432,1.4772
Transducer_ExpFrame8TrainsWithDelays,2626,37,0.0889,0.7551,56.0833,1.3353
