Clock      Train Name                               Next Position  
0.00       T2                                       6  
0.00       T3                                       8  
0.00       T1                                       4  
0.00       T0                                       2  
1.67       T1                                       4  
2.77       T2                                       6  
3.07       T3                                       8  
3.06       T1                                       6  
3.87       T0                                       2  
3.27       T3                                       10 
5.30       T2                                       8  
4.44       T0                                       4  
5.63       T1                                       6  
5.96       T0                                       4  
6.17       T3                                       10 
6.27       T2                                       8  
6.27       T1                                       8  
6.37       T0                                       6  
7.17       T2                                       10 
7.41       T3                                       12 
7.95       T1                                       8  
8.22       T2                                       10 
8.67       T1                                       10 
9.32       T0                                       6  
10.32      T0                                       8  
11.66      T0                                       8  
13.59      T3                                       12 
13.59      T2                                       12 
13.59      T1                                       10 
14.59      T3                                       14 
14.59      T0                                       10 
16.00      T2                                       12 
16.00      T1                                       12 
18.17      T3                                       14 
18.17      T2                                       14 
18.35      T3                                       16 
20.08      T1                                       12 
20.70      T0                                       10 
21.01      T2                                       14 
21.38      T1                                       14 
22.31      T3                                       16 
22.52      T0                                       12 
23.11      T2                                       16 
23.52      T3                                       18 
25.93      T0                                       12 
26.53      T2                                       16 
26.74      T1                                       14 
26.74      T0                                       14 
28.56      T3                                       18 
28.56      T2                                       18 
28.38      T1                                       16 
30.04      T0                                       14 
30.08      T3                                       0  
30.10      T2                                       18 
33.39      T1                                       16 
33.39      T0                                       16 
33.86      T3                                       0  
33.86      T2                                       0  
34.22      T1                                       18 
35.15      T3                                       2  
35.15      T2                                       0  
36.25      T3                                       2  
37.00      T1                                       18 
36.30      T2                                       2  
37.34      T0                                       16 
39.40      T3                                       4  
39.40      T2                                       2  
37.59      T1                                       0  
39.39      T1                                       0  
38.99      T0                                       18 
41.13      T0                                       18 
40.64      T1                                       2  
42.15      T3                                       4  
42.15      T2                                       4  
42.27      T0                                       0  
43.03      T3                                       6  
44.10      T0                                       0  
45.17      T2                                       4  
45.39      T3                                       6  
45.82      T1                                       2  
45.82      T0                                       2  
45.51      T2                                       6  
46.28      T3                                       8  
47.37      T1                                       4  
49.04      T1                                       4  
49.95      T2                                       6  
49.12      T1                                       6  
50.26      T0                                       2  
51.29      T3                                       8  
51.29      T2                                       8  
51.23      T0                                       4  
51.43      T1                                       6  
52.14      T3                                       10 
54.58      T3                                       10 
55.58      T3                                       12 
55.63      T0                                       4  
55.81      T2                                       8  
55.81      T1                                       8  
56.45      T0                                       6  
56.18      T2                                       10 
58.94      T1                                       8  
59.00      T3                                       12 
60.00      T3                                       14 
60.64      T0                                       6  
61.16      T2                                       10 
61.16      T1                                       10 
61.13      T0                                       8  
62.06      T3                                       14 
61.25      T2                                       12 
62.69      T3                                       16 
64.09      T0                                       8  
64.78      T3                                       16 
64.96      T2                                       12 
65.59      T1                                       10 
65.59      T0                                       10 
65.33      T2                                       14 
65.87      T3                                       18 
66.19      T1                                       12 
66.63      T0                                       10 
67.94      T2                                       14 
69.34      T2                                       16 
70.69      T1                                       12 
70.69      T0                                       12 
70.76      T3                                       18 
71.29      T1                                       14 
72.18      T0                                       12 
72.33      T3                                       0  
72.80      T2                                       16 
73.95      T2                                       18 
74.69      T1                                       14 
74.69      T0                                       14 
75.41      T1                                       16 
76.81      T3                                       0  
77.03      T2                                       18 
78.50      T0                                       14 
78.11      T3                                       2  
78.94      T2                                       0  
80.30      T1                                       16 
80.30      T0                                       16 
82.10      T1                                       18 
82.32      T2                                       0  
82.40      T3                                       2  
83.90      T0                                       16 
82.90      T3                                       4  
83.72      T2                                       2  
84.95      T2                                       2  
86.07      T1                                       18 
86.04      T0                                       18 
87.55      T1                                       0  
88.42      T3                                       4  
88.42      T2                                       4  
89.30      T0                                       18 
88.54      T3                                       6  
90.75      T2                                       4  
91.22      T1                                       0  
91.22      T0                                       0  
93.52      T3                                       6  
93.52      T2                                       6  
94.33      T1                                       2  
93.70      T3                                       8  
94.71      T0                                       0  
95.49      T3                                       8  
96.32      T3                                       10 
97.72      T2                                       6  
98.39      T1                                       2  
98.39      T0                                       2  
99.07      T3                                       10 
99.32      T2                                       8  
99.46      T1                                       4  
100.74     T3                                       12 
103.05     T1                                       4  
103.52     T2                                       8  
103.58     T1                                       6  
104.40     T3                                       12 
104.51     T0                                       2  
105.29     T3                                       14 
105.05     T2                                       10 
107.48     T0                                       4  
107.88     T1                                       6  
108.18     T3                                       14 
108.56     T1                                       8  
108.64     T3                                       16 
109.40     T2                                       10 
109.95     T1                                       8  
109.85     T2                                       12 
111.04     T1                                       10 
111.47     T3                                       16 
111.61     T0                                       4  
112.47     T3                                       18 
114.49     T2                                       12 
112.70     T0                                       6  
114.61     T1                                       10 
115.36     T2                                       14 
114.86     T1                                       12 
116.11     T3                                       18 
117.33     T0                                       6  
117.56     T1                                       12 
117.65     T3                                       0  
119.64     T0                                       8  
119.80     T2                                       14 
119.80     T1                                       14 
