Name,Passengers Carried,Accumulated Load Unload Delays,Average Load Unload Delay,Average Load Unload Nonzero Delay,Total Transit Delay,Average Transit Delay
Transducer_ExpFrame6TrainsNoDelays,1908,45,0.1475,1.2162,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1922,57,0.1926,1.2128,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1951,29,0.0954,0.7632,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1900,51,0.1667,1.1860,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1991,37,0.1209,1.4800,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2109,30,0.0938,0.9677,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1995,39,0.1266,1.1471,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2054,30,0.0938,0.7143,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1957,50,0.1672,1.2195,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1950,53,0.1767,1.0000,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1920,53,0.1755,1.3947,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2066,50,0.1587,1.4286,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2153,30,0.0926,0.9677,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2014,41,0.1323,1.0789,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2052,26,0.0815,0.7222,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2030,33,0.1065,0.7333,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2009,23,0.0740,0.6970,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2015,41,0.1331,1.1081,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1883,54,0.1782,0.9818,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2012,48,0.1543,0.9796,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2097,37,0.1142,1.3214,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2041,44,0.1419,1.0732,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1974,44,0.1401,0.9362,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2063,41,0.1314,1.0789,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2028,33,0.1054,0.7500,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2087,31,0.0978,0.8611,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2003,48,0.1553,0.9796,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2068,16,0.0489,0.6154,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2044,45,0.1406,1.1250,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2036,22,0.0703,0.6667,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2063,21,0.0660,0.7500,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2007,43,0.1396,0.9348,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2128,27,0.0828,1.2273,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1974,42,0.1368,1.0769,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1977,49,0.1607,1.1667,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1985,38,0.1254,0.8261,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2007,46,0.1484,1.0000,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2047,45,0.1415,1.0000,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2128,41,0.1314,0.9535,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,1962,45,0.1452,1.0976,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2036,42,0.1325,1.2000,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2096,29,0.0903,1.1600,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2077,33,0.1012,0.9167,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2024,26,0.0839,0.8667,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2086,28,0.0889,1.0370,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2134,24,0.0729,0.7500,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2091,27,0.0828,1.0800,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2128,35,0.1084,1.0294,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2071,26,0.0825,0.8667,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2191,26,0.0788,0.8966,0.0000,NaN
Transducer_ExpFrame6TrainsNoDelays,2218,20,0.0593,1.0526,0.0000,NaN
