Clock      Train Name                               Next Position  
0.00       T2                                       6  
0.00       T5                                       12 
0.00       T3                                       8  
0.00       T1                                       4  
0.00       T4                                       10 
0.00       T0                                       2  
2.29       T2                                       6  
3.86       T5                                       12 
4.01       T4                                       10 
5.00       T5                                       14 
4.02       T4                                       12 
5.01       T3                                       8  
5.01       T2                                       8  
5.10       T1                                       4  
5.19       T0                                       2  
5.90       T1                                       6  
6.18       T5                                       14 
7.06       T5                                       16 
6.60       T0                                       4  
7.41       T3                                       10 
8.59       T2                                       8  
8.63       T4                                       12 
9.50       T4                                       14 
9.58       T0                                       4  
10.77      T1                                       6  
10.77      T0                                       6  
10.91      T3                                       10 
10.91      T2                                       10 
11.08      T5                                       16 
11.47      T1                                       8  
11.34      T3                                       12 
12.70      T0                                       6  
12.50      T5                                       18 
12.74      T4                                       14 
12.79      T4                                       16 
13.85      T3                                       12 
14.29      T3                                       14 
15.63      T5                                       18 
16.23      T2                                       10 
17.23      T2                                       12 
17.03      T5                                       0  
17.44      T1                                       8  
17.44      T0                                       8  
17.64      T4                                       16 
17.76      T3                                       14 
18.12      T1                                       10 
18.40      T3                                       16 
19.49      T2                                       12 
20.23      T2                                       14 
19.94      T4                                       18 
21.56      T5                                       0  
21.70      T0                                       8  
22.38      T3                                       16 
23.06      T1                                       10 
23.06      T0                                       10 
23.05      T5                                       2  
23.67      T1                                       12 
23.94      T5                                       2  
23.95      T2                                       14 
24.67      T4                                       18 
24.67      T3                                       18 
24.24      T2                                       16 
24.63      T5                                       4  
26.20      T0                                       10 
26.47      T4                                       0  
26.47      T3                                       18 
27.27      T5                                       4  
27.46      T1                                       12 
27.46      T0                                       12 
27.72      T2                                       16 
28.02      T1                                       14 
28.45      T5                                       6  
28.69      T4                                       0  
28.69      T3                                       0  
28.76      T2                                       18 
30.33      T4                                       2  
30.46      T1                                       14 
30.95      T5                                       6  
30.97      T1                                       16 
31.16      T0                                       12 
31.75      T5                                       8  
31.57      T0                                       14 
31.94      T3                                       0  
33.02      T2                                       18 
33.41      T4                                       2  
33.46      T3                                       2  
34.16      T1                                       16 
34.21      T4                                       4  
34.82      T5                                       8  
34.68      T2                                       0  
35.14      T1                                       18 
35.42      T0                                       14 
36.20      T3                                       2  
35.63      T0                                       16 
36.26      T5                                       10 
36.40      T4                                       4  
36.46      T4                                       6  
37.43      T3                                       4  
37.67      T0                                       16 
38.21      T2                                       0  
38.34      T1                                       18 
39.00      T0                                       18 
39.45      T4                                       6  
39.54      T5                                       10 
39.79      T3                                       4  
39.63      T2                                       2  
40.05      T1                                       0  
39.85      T4                                       8  
40.22      T5                                       12 
40.36      T3                                       6  
41.71      T0                                       18 
42.06      T3                                       6  
42.41      T4                                       8  
42.72      T3                                       8  
43.02      T1                                       0  
43.88      T5                                       12 
44.09      T4                                       10 
44.67      T5                                       14 
44.18      T0                                       0  
44.78      T2                                       2  
44.26      T1                                       2  
45.74      T2                                       4  
45.93      T1                                       2  
46.15      T3                                       8  
46.42      T4                                       10 
47.01      T0                                       0  
46.84      T4                                       12 
47.94      T3                                       10 
48.41      T5                                       14 
48.60      T0                                       2  
48.90      T5                                       16 
49.31      T4                                       12 
49.98      T4                                       14 
50.78      T3                                       10 
51.35      T5                                       16 
51.65      T2                                       4  
51.65      T1                                       4  
51.95      T0                                       2  
51.91      T3                                       12 
52.38      T2                                       6  
52.32      T5                                       18 
54.03      T2                                       6  
54.56      T2                                       8  
55.19      T3                                       12 
55.77      T4                                       14 
55.60      T3                                       14 
56.20      T5                                       18 
56.26      T4                                       16 
56.57      T1                                       4  
56.57      T0                                       4  
57.03      T1                                       6  
57.60      T4                                       16 
57.79      T5                                       0  
57.83      T0                                       4  
58.78      T2                                       8  
58.42      T4                                       18 
59.06      T3                                       14 
59.49      T2                                       10 
59.63      T3                                       16 
59.75      T5                                       0  
60.35      T4                                       18 
61.08      T1                                       6  
61.08      T0                                       6  
61.42      T5                                       2  
61.74      T1                                       8  
61.95      T4                                       0  
62.75      T0                                       6  
62.79      T3                                       16 
62.85      T2                                       10 
63.85      T2                                       12 
63.73      T3                                       18 
64.82      T1                                       8  
64.56      T0                                       8  
65.33      T5                                       2  
65.31      T1                                       10 
66.31      T5                                       4  
67.37      T4                                       0  
68.32      T3                                       18 
68.44      T2                                       12 
68.51      T4                                       2  
69.36      T2                                       14 
70.27      T3                                       0  
70.59      T0                                       8  
70.66      T5                                       4  
71.20      T5                                       6  
71.26      T1                                       10 
72.07      T1                                       12 
71.85      T0                                       10 
73.12      T4                                       2  
73.14      T5                                       6  
74.14      T5                                       8  
74.11      T4                                       4  
74.44      T3                                       0  
74.49      T2                                       14 
75.40      T0                                       10 
74.57      T2                                       16 
75.64      T1                                       12 
75.74      T0                                       12 
76.14      T1                                       14 
77.02      T3                                       2  
77.90      T5                                       8  
78.06      T0                                       12 
78.73      T5                                       10 
79.12      T2                                       16 
79.58      T4                                       4  
79.67      T1                                       14 
79.67      T0                                       14 
80.50      T4                                       6  
79.84      T1                                       16 
81.46      T3                                       2  
81.24      T2                                       18 
82.17      T1                                       16 
82.74      T3                                       4  
82.78      T5                                       10 
83.47      T4                                       6  
83.08      T5                                       12 
83.67      T4                                       8  
84.41      T0                                       14 
85.70      T2                                       18 
85.70      T1                                       18 
86.65      T0                                       16 
87.59      T3                                       4  
86.81      T2                                       0  
87.66      T4                                       8  
88.28      T5                                       12 
87.90      T3                                       6  
88.04      T4                                       10 
89.34      T2                                       0  
89.42      T1                                       18 
90.06      T5                                       14 
90.57      T0                                       16 
91.10      T2                                       2  
90.74      T1                                       0  
91.38      T4                                       10 
91.42      T3                                       6  
91.72      T0                                       18 
92.52      T4                                       12 
93.11      T3                                       8  
94.42      T3                                       8  
94.44      T5                                       14 
94.47      T2                                       2  
95.08      T0                                       18 
94.76      T3                                       10 
96.05      T1                                       0  
94.89      T2                                       4  
96.20      T5                                       16 
96.32      T4                                       12 
97.05      T4                                       14 
97.63      T3                                       10 
98.14      T2                                       4  
97.94      T0                                       0  
99.04      T2                                       6  
98.34      T1                                       2  
99.40      T3                                       12 
100.07     T0                                       0  
100.57     T1                                       2  
100.70     T4                                       14 
100.70     T5                                       16 
101.22     T4                                       16 
101.90     T2                                       6  
101.25     T1                                       4  
101.37     T5                                       18 
102.08     T0                                       2  
104.04     T1                                       4  
103.23     T2                                       8  
104.39     T3                                       12 
104.44     T1                                       6  
105.16     T4                                       16 
105.00     T3                                       14 
105.62     T5                                       18 
106.70     T4                                       18 
106.89     T5                                       0  
107.72     T0                                       2  
108.07     T1                                       6  
108.37     T4                                       18 
108.40     T2                                       8  
108.80     T3                                       14 
108.52     T1                                       8  
108.81     T2                                       10 
109.82     T0                                       4  
110.59     T3                                       16 
111.31     T1                                       8  
111.96     T5                                       0  
111.96     T4                                       0  
112.08     T2                                       10 
112.08     T1                                       10 
112.33     T2                                       12 
113.09     T3                                       16 
113.45     T5                                       2  
114.18     T4                                       0  
114.00     T3                                       18 
115.58     T3                                       18 
115.71     T0                                       4  
116.12     T5                                       2  
116.12     T4                                       2  
116.31     T0                                       6  
116.49     T1                                       10 
116.84     T3                                       0  
117.42     T5                                       4  
117.51     T2                                       12 
118.51     T2                                       14 
117.84     T1                                       12 
119.12     T4                                       2  
