Clock      Train Name                               Next Position  
81.57      T2                                       18 
81.32      T6                                       8  
81.79      T0                                       14 
81.83      T4                                       2  
81.85      T5                                       4  
82.64      T5                                       6  
83.01      T4                                       4  
83.38      T1                                       16 
83.38      T0                                       16 
83.60      T7                                       10 
83.76      T3                                       0  
84.00      T2                                       18 
84.20      T7                                       12 
84.25      T4                                       4  
84.50      T1                                       18 
85.96      T6                                       8  
86.16      T7                                       12 
86.21      T3                                       0  
86.21      T2                                       0  
86.71      T6                                       10 
86.61      T7                                       14 
86.92      T0                                       16 
87.85      T5                                       6  
87.85      T4                                       6  
88.36      T5                                       8  
88.62      T3                                       2  
90.33      T1                                       18 
90.33      T0                                       18 
90.41      T7                                       14 
90.47      T6                                       10 
90.92      T4                                       6  
90.91      T7                                       16 
91.04      T6                                       12 
91.13      T5                                       8  
91.49      T2                                       0  
91.35      T4                                       8  
91.86      T3                                       2  
91.39      T5                                       10 
91.51      T1                                       0  
91.51      T0                                       18 
92.66      T3                                       4  
93.32      T2                                       2  
93.68      T5                                       10 
94.77      T6                                       12 
94.83      T7                                       16 
94.91      T5                                       12 
95.63      T6                                       14 
95.78      T3                                       4  
95.89      T7                                       18 
95.96      T4                                       8  
96.48      T1                                       0  
96.48      T0                                       0  
96.08      T3                                       6  
96.85      T4                                       10 
96.95      T2                                       2  
98.04      T2                                       4  
98.00      T1                                       2  
98.00      T0                                       0  
99.08      T5                                       12 
99.61      T3                                       6  
100.14     T3                                       8  
100.37     T7                                       18 
100.41     T6                                       14 
100.41     T5                                       14 
100.88     T4                                       10 
100.94     T6                                       16 
100.99     T2                                       4  
101.59     T1                                       2  
101.59     T0                                       2  
102.14     T5                                       14 
101.59     T7                                       0  
102.49     T4                                       12 
102.90     T2                                       6  
103.11     T3                                       8  
104.11     T3                                       10 
103.41     T1                                       4  
104.84     T6                                       16 
104.84     T5                                       16 
105.44     T7                                       0  
105.76     T1                                       4  
105.92     T6                                       18 
106.12     T4                                       12 
106.50     T2                                       6  
106.50     T1                                       6  
106.75     T4                                       14 
107.72     T0                                       2  
107.72     T7                                       2  
107.95     T2                                       8  
108.25     T4                                       14 
108.83     T5                                       16 
108.61     T0                                       4  
108.88     T4                                       16 
108.96     T6                                       18 
109.74     T3                                       10 
109.91     T5                                       18 
110.20     T1                                       6  
110.24     T6                                       0  
110.48     T3                                       12 
111.25     T5                                       18 
111.43     T0                                       4  
111.46     T2                                       8  
111.46     T1                                       8  
112.01     T7                                       2  
111.85     T0                                       6  
112.07     T2                                       10 
113.07     T7                                       4  
113.59     T4                                       16 
113.91     T3                                       12 
114.18     T2                                       10 
114.20     T6                                       0  
114.20     T5                                       0  
114.49     T1                                       8  
114.50     T4                                       18 
114.86     T2                                       12 
115.12     T1                                       10 
115.17     T0                                       6  
115.66     T3                                       14 
116.58     T4                                       18 
116.71     T6                                       2  
116.89     T0                                       8  
118.30     T7                                       4  
118.60     T3                                       14 
118.75     T5                                       0  
118.75     T4                                       0  
118.85     T7                                       6  
119.57     T1                                       10 
119.62     T6                                       2  
