Clock      Train Name                               Next Position  
108.30     T1                                       6  
108.30     T0                                       6  
108.57     T5                                       18 
108.94     T3                                       10 
109.70     T2                                       8  
109.70     T1                                       8  
109.78     T6                                       2  
110.36     T5                                       0  
110.05     T2                                       10 
111.20     T7                                       4  
112.32     T0                                       6  
112.32     T7                                       6  
112.52     T4                                       12 
112.52     T3                                       12 
112.62     T2                                       10 
112.79     T5                                       0  
113.14     T6                                       2  
112.91     T4                                       14 
114.04     T1                                       8  
114.04     T0                                       8  
114.23     T6                                       4  
114.31     T5                                       2  
114.58     T1                                       10 
117.10     T4                                       14 
117.14     T3                                       12 
117.14     T2                                       12 
117.26     T1                                       10 
117.52     T7                                       6  
117.69     T4                                       16 
117.58     T3                                       14 
117.80     T0                                       8  
118.24     T7                                       8  
118.36     T0                                       10 
119.14     T5                                       2  
119.19     T6                                       4  
