Clock      Train Name                               Next Position  
0.00       T2                                       6  
0.00       T3                                       8  
0.00       T0                                       2  
0.00       T7                                       16 
0.00       T1                                       4  
0.00       T6                                       14 
0.00       T4                                       10 
0.00       T5                                       12 
3.16       T2                                       6  
3.96       T0                                       2  
3.97       T7                                       16 
4.33       T3                                       8  
4.33       T2                                       8  
4.67       T4                                       10 
4.93       T6                                       14 
4.74       T3                                       10 
5.21       T7                                       18 
5.27       T5                                       12 
5.27       T4                                       12 
5.58       T6                                       16 
5.72       T1                                       4  
5.72       T0                                       4  
5.83       T5                                       14 
6.09       T7                                       18 
6.10       T1                                       6  
6.86       T2                                       8  
7.62       T7                                       0  
7.96       T3                                       10 
7.96       T2                                       10 
8.78       T1                                       6  
9.31       T4                                       12 
9.31       T3                                       12 
9.25       T1                                       8  
9.53       T6                                       16 
10.23      T7                                       0  
10.53      T0                                       4  
10.52      T6                                       18 
10.64      T5                                       14 
10.64      T4                                       14 
10.94      T3                                       12 
11.12      T0                                       6  
11.15      T5                                       16 
11.42      T1                                       8  
11.68      T7                                       2  
12.53      T0                                       6  
12.55      T4                                       14 
12.55      T3                                       14 
13.22      T7                                       2  
12.85      T0                                       8  
13.40      T2                                       10 
13.40      T1                                       10 
13.84      T0                                       8  
13.96      T2                                       12 
14.34      T5                                       16 
14.34      T4                                       16 
14.10      T7                                       4  
15.60      T6                                       18 
15.60      T5                                       18 
15.99      T3                                       14 
16.44      T2                                       12 
17.02      T1                                       10 
17.02      T0                                       10 
16.85      T2                                       14 
17.34      T6                                       0  
17.54      T7                                       4  
17.51      T1                                       12 
17.95      T7                                       6  
18.34      T4                                       16 
18.34      T3                                       16 
19.46      T6                                       0  
19.82      T1                                       12 
19.83      T2                                       14 
20.43      T5                                       18 
20.43      T4                                       18 
20.20      T1                                       14 
20.76      T7                                       6  
20.89      T3                                       16 
20.89      T2                                       16 
21.04      T6                                       2  
21.49      T7                                       8  
21.60      T0                                       10 
21.88      T5                                       0  
22.32      T0                                       12 
23.61      T1                                       14 
23.85      T5                                       0  
24.48      T4                                       18 
24.48      T3                                       18 
24.82      T6                                       2  
25.28      T2                                       16 
25.28      T1                                       16 
25.42      T5                                       2  
25.99      T7                                       8  
25.65      T6                                       4  
25.83      T4                                       0  
26.61      T7                                       10 
27.19      T0                                       12 
27.21      T5                                       2  
27.52      T3                                       18 
27.52      T2                                       18 
27.87      T0                                       14 
27.87      T1                                       16 
27.97      T7                                       10 
28.55      T7                                       12 
28.82      T4                                       0  
29.21      T3                                       0  
29.24      T6                                       4  
29.24      T5                                       4  
29.42      T6                                       6  
30.41      T4                                       2  
30.82      T2                                       18 
30.82      T1                                       18 
31.02      T0                                       14 
31.20      T0                                       16 
32.59      T5                                       4  
33.94      T6                                       6  
33.94      T5                                       6  
34.15      T7                                       12 
34.74      T6                                       8  
34.55      T7                                       14 
34.75      T3                                       0  
34.75      T2                                       0  
35.30      T0                                       16 
35.30      T1                                       18 
35.81      T4                                       2  
36.41      T3                                       2  
36.18      T0                                       18 
36.51      T7                                       14 
37.00      T6                                       8  
36.62      T4                                       4  
37.22      T5                                       6  
36.81      T7                                       16 
37.31      T6                                       10 
37.58      T5                                       8  
38.96      T6                                       10 
39.57      T3                                       2  
39.35      T6                                       12 
40.29      T7                                       16 
40.29      T2                                       0  
40.29      T1                                       0  
40.29      T0                                       18 
41.29      T4                                       4  
41.29      T3                                       4  
41.29      T7                                       18 
41.65      T5                                       8  
41.93      T4                                       6  
41.66      T2                                       2  
42.33      T5                                       10 
42.45      T1                                       0  
42.45      T0                                       0  
44.22      T3                                       4  
44.36      T6                                       12 
44.66      T7                                       18 
45.06      T6                                       14 
45.34      T5                                       10 
46.14      T4                                       6  
46.14      T3                                       6  
45.54      T5                                       12 
46.61      T4                                       8  
47.24      T2                                       2  
47.24      T1                                       2  
47.24      T0                                       0  
47.24      T7                                       0  
47.62      T5                                       12 
48.33      T2                                       4  
48.82      T6                                       14 
48.82      T5                                       14 
49.66      T6                                       16 
49.69      T1                                       2  
49.69      T0                                       2  
49.94      T7                                       0  
49.95      T4                                       8  
50.45      T3                                       6  
50.44      T4                                       10 
50.91      T2                                       4  
50.46      T1                                       4  
51.45      T3                                       8  
51.38      T2                                       6  
52.12      T0                                       2  
52.12      T7                                       2  
52.28      T5                                       14 
54.13      T1                                       4  
54.13      T0                                       4  
54.15      T7                                       2  
54.47      T2                                       6  
54.80      T1                                       6  
54.94      T4                                       10 
55.33      T6                                       16 
55.33      T5                                       16 
55.54      T4                                       12 
56.40      T6                                       18 
56.97      T0                                       4  
56.97      T7                                       4  
57.22      T3                                       8  
57.22      T2                                       8  
57.58      T5                                       16 
57.79      T3                                       10 
57.91      T6                                       18 
58.86      T2                                       8  
58.30      T5                                       18 
59.05      T1                                       6  
59.05      T0                                       6  
59.58      T3                                       10 
59.14      T2                                       10 
59.67      T6                                       0  
59.67      T5                                       18 
59.44      T1                                       8  
60.01      T4                                       12 
60.09      T3                                       12 
60.53      T4                                       14 
60.64      T6                                       0  
60.69      T5                                       0  
62.17      T7                                       4  
62.11      T6                                       2  
62.23      T5                                       0  
62.31      T0                                       6  
63.04      T7                                       6  
63.25      T2                                       10 
63.56      T3                                       12 
63.90      T1                                       8  
63.90      T0                                       8  
63.60      T2                                       12 
64.47      T7                                       6  
64.34      T1                                       10 
65.81      T4                                       14 
65.81      T3                                       14 
66.81      T4                                       16 
66.81      T2                                       12 
66.92      T6                                       2  
66.92      T5                                       2  
67.09      T0                                       8  
67.09      T7                                       8  
67.92      T1                                       10 
67.26      T0                                       10 
67.79      T6                                       4  
68.56      T6                                       4  
68.28      T1                                       12 
68.84      T6                                       6  
70.59      T7                                       8  
70.95      T3                                       14 
70.95      T2                                       14 
71.02      T1                                       12 
71.38      T4                                       16 
71.40      T0                                       10 
71.40      T7                                       10 
71.50      T3                                       16 
71.70      T5                                       2  
71.79      T6                                       6  
71.84      T0                                       12 
72.46      T6                                       8  
72.31      T4                                       18 
72.75      T3                                       16 
72.65      T5                                       4  
73.43      T7                                       10 
73.89      T2                                       14 
73.89      T1                                       14 
74.32      T2                                       16 
75.36      T0                                       12 
75.36      T7                                       12 
75.39      T4                                       18 
75.39      T3                                       18 
75.62      T6                                       8  
76.06      T6                                       10 
77.23      T4                                       0  
77.65      T1                                       14 
77.65      T0                                       14 
77.73      T5                                       4  
77.81      T3                                       18 
78.26      T5                                       6  
78.40      T6                                       10 
78.99      T2                                       16 
78.99      T1                                       16 
80.11      T7                                       12 
80.11      T6                                       12 
79.86      T2                                       18 
81.63      T5                                       6  
82.22      T5                                       8  
82.30      T1                                       16 
82.52      T4                                       0  
82.52      T3                                       0  
82.58      T0                                       14 
82.58      T7                                       14 
82.98      T6                                       12 
83.17      T0                                       16 
83.82      T2                                       18 
83.82      T1                                       18 
84.23      T4                                       2  
85.53      T3                                       0  
85.11      T2                                       0  
86.07      T0                                       16 
87.37      T5                                       8  
87.85      T7                                       14 
87.85      T6                                       14 
87.89      T5                                       10 
88.10      T4                                       2  
88.10      T3                                       2  
88.13      T1                                       18 
88.13      T0                                       18 
88.58      T7                                       16 
89.00      T2                                       0  
89.01      T4                                       4  
89.45      T6                                       14 
89.61      T1                                       0  
89.82      T0                                       18 
91.55      T5                                       10 
91.82      T3                                       2  
91.82      T2                                       2  
92.10      T5                                       12 
92.71      T4                                       4  
92.76      T3                                       4  
93.33      T7                                       16 
93.33      T6                                       16 
93.09      T4                                       6  
93.83      T1                                       0  
93.83      T0                                       0  
94.79      T7                                       18 
95.03      T5                                       12 
95.52      T3                                       4  
95.54      T2                                       2  
95.54      T1                                       2  
95.52      T5                                       14 
96.59      T7                                       18 
96.50      T2                                       4  
96.86      T4                                       6  
96.86      T3                                       6  
97.54      T0                                       0  
97.18      T4                                       8  
97.64      T1                                       2  
97.87      T5                                       14 
97.89      T6                                       16 
98.28      T7                                       0  
98.43      T5                                       16 
98.70      T6                                       18 
98.80      T0                                       2  
99.54      T7                                       0  
100.22     T3                                       6  
101.54     T4                                       8  
101.54     T3                                       8  
101.55     T2                                       4  
101.55     T1                                       4  
101.55     T0                                       2  
101.55     T7                                       2  
102.07     T5                                       16 
102.02     T4                                       10 
102.08     T2                                       6  
102.84     T6                                       18 
102.97     T5                                       18 
103.94     T3                                       8  
104.57     T6                                       0  
104.93     T2                                       6  
105.09     T1                                       4  
105.09     T0                                       4  
105.09     T7                                       2  
105.44     T2                                       8  
105.49     T1                                       6  
105.75     T4                                       10 
105.75     T3                                       10 
106.52     T4                                       12 
107.73     T0                                       4  
107.73     T7                                       4  
108.24     T6                                       0  
